link_id,Node1           ,Node2           
 PIPE_23830      ,A1000           ,A181            
 PIPE_25234      ,A187            ,AD10075-01-01   
 PIPE_18018      ,A181            ,A183            
 PIPE_22548      ,A184            ,AD10075-03-01   
 PIPE_19749      ,A3099           ,AD10424-01-01   
 PIPE_22752      ,A186            ,A187            
 PIPE_25368      ,A186            ,A184            
 PIPE_17852      ,A188            ,AD10092-02-01   
 PIPE_15707      ,A2717           ,AD11177         
 PIPE_18627      ,A190            ,A191            
 PIPE_21206      ,A829            ,A378            
 PIPE_18025      ,A2608           ,A192            
 PIPE_24421      ,A193            ,AD10077-03-01   
 PIPE_31290      ,A671            ,AD11719         
 PIPE_20363      ,A2094           ,A195            
 PIPE_22859      ,A196            ,A197            
 PIPE_25987      ,A198            ,A2671           
 PIPE_22283      ,A199            ,A3150           
 PIPE_21143      ,A200            ,A201            
 PIPE_24540      ,A986            ,AD11211         
 PIPE_23020      ,A203            ,A17             
 PIPE_23576      ,AD11133-01-01   ,A204            
 PIPE_29450      ,A551            ,A205            
 PIPE_27412      ,A1866           ,A1382           
 PIPE_25276      ,A2231           ,AD10119-01-01   
 PIPE_31773      ,A207            ,A208            
 PIPE_31857      ,A208            ,A209            
 PIPE_25803      ,A214            ,AD10014-01-01   
 PIPE_26932      ,A212            ,A213            
 PIPE_17632      ,A215            ,A216            
 PIPE_24104      ,A217            ,A218            
 PIPE_17703      ,A219            ,A220            
 PIPE_22088      ,A222            ,AD10091-01-01   
 PIPE_19414      ,A222            ,A223            
 PIPE_21499      ,A224            ,A225            
 PIPE_19256      ,A226            ,A227            
 PIPE_17900      ,A228            ,A226            
 PIPE_19420      ,A229            ,A612            
 PIPE_25382      ,A230            ,AD10050-01-01   
 PIPE_18195      ,A382            ,A1496           
 PIPE_24404      ,A231            ,A232            
 PIPE_31282      ,A233            ,A234            
 PIPE_17777      ,A130            ,A235            
 PIPE_26376      ,A236            ,A237            
 PIPE_21631      ,A238            ,A1620           
 PIPE_27163      ,A239            ,A240            
 PIPE_20387      ,A241            ,AD10026-02-01   
 PIPE_18273      ,A242            ,A241            
 PIPE_18744      ,A243            ,A551            
 PIPE_20473      ,A1679           ,AD10027         
 PIPE_19684      ,A246            ,A247            
 PIPE_21992      ,A248            ,AD10302-01-01   
 PIPE_24505      ,A2261           ,AD10038-01-01   
 PIPE_18839      ,A250            ,A251            
 PIPE_22117      ,A1040           ,A252            
 PIPE_23066      ,A28             ,A253            
 PIPE_19661      ,A254            ,A255            
 PIPE_25598      ,A256            ,AD11447         
 PIPE_23128      ,A257            ,A258            
 PIPE_18583      ,A259            ,A260            
 PIPE_18887      ,A261            ,A451            
 PIPE_25184      ,A3464           ,AD10203         
 PIPE_22540      ,A263            ,AD10222-01-01   
 PIPE_22119      ,A264            ,A265            
 PIPE_23007      ,A266            ,A1071           
 PIPE_18673      ,A267            ,A268            
 PIPE_27542      ,A2327           ,A269            
 PIPE_23160      ,A270            ,A271            
 PIPE_21580      ,A272            ,AD10029-01-01   
 PIPE_17660      ,A2759           ,AD10003-03-01   
 PIPE_24187      ,A274            ,A275            
 PIPE_17991      ,A93             ,A277            
 PIPE_23439      ,A278            ,A2759           
 PIPE_20174      ,A1076           ,A215            
 PIPE_18860      ,A279            ,AD10337-01-01   
 PIPE_20084      ,A2760           ,AD10882-01-01   
 PIPE_21049      ,A282            ,A283            
 PIPE_23563      ,A1171           ,A284            
 PIPE_21316      ,A1954           ,A3442           
 PIPE_26858      ,A2762           ,A285            
 PIPE_22916      ,A286            ,A287            
 PIPE_23224      ,A288            ,AD10049-01-01   
 PIPE_20357      ,A508            ,AD10044-01-01   
 PIPE_26853      ,A289            ,A290            
 PIPE_18817      ,A291            ,A938            
 PIPE_29546      ,A1783           ,A292            
